team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SEA,2023,SEA,SEA,Team Level,other,82,0.48,0.47,0.45,9239,122.07,25.46,8.32,22.98,4.21,63.36,42.67,23.19,25.46,23.19,113,54,78,245,17,7,1,16,0,63,64,96,150,9,21,108,26,24,22,97,30,40,3.64,3.14,18.68,3,2,12,245,167,167,12,2.42,3.2,3.2,24.68,24.68,23.32,142.42,28.06,10.3,26.87,5.11,84.2,48.47,25.75,28.06,25.75,137,66,75,278,37,10,3,28,2,73,53,100,166,7,19,129,29,26,14,122,42,39,4.56,5.22,18.28,6,10,21,278,203,203,4,3.02,2.84,2.84,28.23,28.23,26.38
SEA,2023,SEA,SEA,Team Level,all,82,0.51,0.51,0.5,299637,2510.3,231.6,168.8,618.09,84.94,1386.71,995.86,221.57,233.04,222.98,2348,1138,1553,5039,214,233,24,486,9,1262,1282,2134,3272,260,597,2153,1828,686,420,2659,575,252,75.54,71.18,84.88,96,58,60,5052.65,3486,3495.44,191,37.26,47.9,47.9,220.96,222.14,216.08,2534.42,224.66,170.14,624.84,86.86,1416.11,1020.38,215.03,225.41,215.81,2391,1152,1301,4844,232,255,31,568,11,1204,1273,2159,3311,276,614,2378,1768,717,541,2727,577,239,73.91,70.29,80.45,83,78,71,4857.33,3543,3558.32,257,37.75,49.03,49.03,213.38,214.28,208.54
SEA,2023,SEA,SEA,Team Level,5on5,82,0.51,0.51,0.5,245324,1987.96,157.93,126.41,512.3,67.27,1095.04,807.06,153.38,159.36,154.79,1875,891,1271,4037,144,184,16,420,7,978,1033,1731,2622,226,524,1671,1707,596,351,2166,451,149,60.92,56.69,40.32,76,46,22,4050.65,2766,2775.44,159,26.17,34.76,34.76,149.34,150.53,148.32,2001.92,151.93,126.65,515.91,68.44,1105.47,828.6,147.08,152.68,147.86,1887,910,1033,3830,146,201,20,470,8,945,1027,1741,2651,245,547,1854,1647,603,463,2221,438,138,59.54,53.39,38.99,66,53,27,3843.33,2797,2812.32,242,26.21,36.5,36.63,141.5,142.4,140.02
SEA,2023,SEA,SEA,Team Level,4on5,82,0.11,0.11,0.14,21231,54.47,4.84,2.91,8.14,1.95,18.25,38.91,4.69,4.84,4.69,61,14,3,78,5,5,1,2,2,12,49,56,70,9,20,152,74,48,18,56,13,6,1.68,1.47,1.69,1,2,2,78,75,75,15,0.66,1.04,1.04,4.46,4.46,4.41,337.18,39.9,30.26,73.38,11.48,208.21,106.77,37.51,39.9,37.51,309,161,180,650,40,40,6,67,1,177,145,269,430,15,30,205,17,26,52,334,81,55,8.76,9.73,21.41,8,11,21,650,470,470,1,7.85,8.89,8.76,38.99,38.99,37.5
SEA,2023,SEA,SEA,Team Level,5on4,82,0.9,0.89,0.87,23843,345.8,43.38,31.16,74.66,11.51,210.07,107.22,40.32,43.38,40.32,299,179,201,679,48,37,6,48,0,209,136,251,430,16,32,222,21,18,29,340,81,57,9.31,9.89,24.18,16,8,24,679,478,478,5,8.01,8.92,8.92,42.48,42.48,40.02,52.9,4.78,2.93,8.68,1.84,18.22,36.55,4.69,4.78,4.69,58,15,13,86,9,4,2,3,0,9,48,49,64,9,18,190,75,62,12,50,16,7,1.06,1.95,1.77,3,4,2,86,73,73,10,0.67,0.8,0.8,4.65,4.65,4.63
NSH,2023,NSH,NSH,Team Level,other,82,0.5,0.53,0.53,11136,160.24,36.36,11.67,30.59,5.66,84.25,49.47,33.7,36.36,33.7,153,65,74,292,37,18,2,21,2,86,54,116,181,6,15,130,41,24,24,112,48,58,4.14,5.59,26.64,5,5,27,292,218,218,12,3.45,5.44,5.24,34.57,34.57,33.22,139.18,36.94,9.94,24.16,4.74,72.24,41.99,34.21,36.94,34.21,136,54,66,256,38,17,4,14,4,68,49,98,152,9,21,119,46,16,20,85,48,57,3.37,5.97,27.61,7,7,24,256,190,190,7,2.84,7.24,7.24,32.55,32.55,30.99
NSH,2023,NSH,NSH,Team Level,all,82,0.52,0.52,0.52,297142,2753.53,273.29,193,668.22,94.12,1487.53,1066.84,260.11,275.79,262.45,2642,1141,1424,5207,266,287,41,546,10,1346,1328,2376,3517,299,706,2349,2149,651,762,2769,701,313,78.52,87.84,106.93,89,76,101,5261.56,3783,3821.94,421,43.13,61.18,61.23,255.18,257.17,250.86,2539.52,250.29,170.93,615.33,87.56,1348.45,998.44,238.57,250.82,239.08,2507,964,1342,4813,248,271,27,483,10,1219,1240,2259,3223,313,727,2316,1962,592,820,2549,630,292,71.15,78.91,100.24,85,81,82,4804.68,3471,3464.73,473,38.03,55.61,55.7,232.63,233.27,227.39
NSH,2023,NSH,NSH,Team Level,5on5,82,0.53,0.51,0.52,237162,2133.49,184.22,140.57,543.78,72.67,1141.68,851.09,176.83,186.71,179.16,2037,897,1126,4060,168,215,29,454,6,1022,1069,1869,2766,264,635,1820,1997,555,633,2215,529,190,62.44,67.52,54.25,69,58,41,4114.56,2934,2972.94,372,29.28,42.95,43.48,170.01,171.99,168.85,1991.81,163.77,126.86,506.15,68.73,1059.46,804.03,158.18,164.3,158.68,1960,769,1101,3830,156,196,17,405,5,970,997,1804,2573,283,660,1752,1793,500,711,2074,490,165,56.86,61.68,45.23,69,60,27,3821.68,2729,2722.73,432,26.37,37.04,37.44,152.7,153.35,151.04
NSH,2023,NSH,NSH,Team Level,4on5,82,0.13,0.13,0.14,23706,58.1,6.45,3.16,8.87,1.91,17.76,38.84,6.26,6.45,6.26,59,18,13,90,6,7,1,1,1,14,48,53,71,11,20,165,89,59,34,47,23,7,1.4,2.63,2.42,2,3,1,90,77,77,30,0.73,1.77,1.77,5.4,5.4,5.36,339.83,42.99,31.02,74.8,12.03,196.08,105.08,39.68,42.99,39.68,334,128,168,630,50,54,6,55,1,171,131,284,412,11,24,231,27,20,58,322,81,59,9.17,9.67,24.15,9,12,29,630,462,462,5,8.09,10.41,10.11,40.97,40.97,38.99
NSH,2023,NSH,NSH,Team Level,5on4,82,0.88,0.89,0.86,25138,401.71,46.27,37.61,84.97,13.89,243.83,127.43,43.32,46.27,43.32,393,161,211,765,55,47,9,70,1,224,157,338,499,18,36,234,22,13,71,395,101,58,10.55,12.1,23.61,13,10,32,765,554,554,7,9.68,11.02,10.74,45.21,45.21,43.42,68.69,6.6,3.1,10.22,2.07,20.67,47.35,6.51,6.6,6.51,77,13,7,97,4,4,0,9,0,10,63,73,86,10,22,214,96,56,31,68,11,11,1.75,1.6,3.25,0,2,2,97,90,90,29,0.73,0.92,0.92,6.4,6.4,6.38
