team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CGY,2009,CGY,CGY,Team Level,4on5,82,0.11,0.13,0.14,28651,69.35,5.81,2.99,8.96,1.94,21.29,56.01,5.81,5.81,5.81,79,18,18,115,7,0,0,7,2,14,67,72,90,20,47,196,89,90,44,76,15,6,2.19,2.03,1.58,1,2,4,115,97,97,43,0.69,0,0,6.5,6.5,6.5,405.48,46.46,35.11,85.39,13.55,256.03,138.17,44.19,46.46,44.19,422,163,189,774,46,36,9,78,11,216,198,376,539,17,35,302,41,17,90,430,104,51,11.23,12.07,23.15,10,8,28,774,585,585,20,8.96,9.97,9.78,44.99,44.99,43.3
CGY,2009,CGY,CGY,Team Level,5on4,82,0.95,0.9,0.89,26241,352.82,39.18,30.81,75.92,11.42,220.05,117.94,36.25,39.18,36.25,346,154,196,696,39,31,9,76,12,168,174,307,461,24,52,231,60,25,76,378,76,46,8.7,9.29,21.19,9,12,18,696,500,500,5,7.86,10.27,10.55,36.16,36.16,33.78,42.08,2.07,1.46,5.78,1.24,12.2,39.31,2.07,2.07,2.07,45,18,13,76,0,1,0,5,0,10,47,45,63,12,30,238,80,65,59,56,6,1,1.14,0.7,0.24,0,0,0,76,63,63,54,0.35,0.04,0.04,2.32,2.32,2.32
EDM,2009,EDM,EDM,Team Level,other,82,0.42,0.49,0.5,11726,167.32,23.4,12.95,31.68,5.49,93.54,61.01,22.3,23.4,22.3,158,71,69,298,15,12,2,26,6,90,80,143,214,22,44,159,39,37,43,143,53,33,4.63,6.78,12,2,1,12,298,229,229,23,3.82,2.59,2.59,24.57,24.57,23.73,168.19,32.06,11.94,30.82,5.52,88.37,62.35,29.29,32.06,29.29,165,67,72,304,31,13,4,34,9,73,72,134,201,18,36,178,32,29,30,139,47,46,4.84,5.89,21.32,6,6,19,304,232,232,14,3.68,4.33,4.33,31.34,31.34,29.38
EDM,2009,EDM,EDM,Team Level,all,82,0.45,0.45,0.45,299826,2306.81,218.63,156.37,515.06,73.47,1263.61,945.65,211.61,217.36,210.34,2321,892,1030,4243,206,171,49,479,80,1039,1238,2115,3007,409,1003,2170,1566,544,1055,2370,619,224,70.06,75.73,72.84,62,62,82,4187.18,3213,3179.05,706,34.84,39.76,41.22,209.57,208.03,204.4,2756.37,262.28,190.63,616.39,88.84,1543.56,1138.65,251.09,265.2,253.92,2717,1157,1305,5179,278,183,41,620,81,1334,1378,2439,3596,403,1008,2507,1454,647,995,2862,781,231,85.49,94.56,82.22,93,99,86,5248.13,3874,3915.92,591,42.48,40.21,42.44,260.04,262.76,255.33
EDM,2009,EDM,EDM,Team Level,5on5,82,0.46,0.45,0.45,232909,1772.06,151.12,113.64,413.25,56.28,959.98,741.69,146.87,149.85,145.59,1783,681,768,3232,142,132,38,394,66,764,966,1641,2322,328,834,1595,1443,420,869,1866,462,136,56.7,56.49,37.92,50,49,43,3176.18,2464,2430.05,607,23.47,29.59,31.01,141.69,140.15,138.35,2108.59,177.11,137.57,489.16,67.56,1166.57,891.99,171.8,180.02,174.62,2075,883,999,3957,188,139,30,499,58,1008,1066,1887,2770,343,868,1801,1305,512,802,2205,622,131,66.65,75.03,35.43,70,83,35,4026.13,2958,2999.92,495,28.36,27.55,29.08,174.5,177.22,174.2
EDM,2009,EDM,EDM,Team Level,4on5,82,0.09,0.1,0.1,27604,51.81,4.9,2.19,7.03,1.41,15.13,39.42,4.82,4.9,4.82,56,15,18,89,6,2,0,6,1,8,48,50,65,24,57,189,60,72,70,51,14,6,1.6,1.43,1.86,3,2,1,89,71,71,65,0.5,0.54,0.54,4.8,4.8,4.76,428.75,48.92,38.9,89.64,14.3,273.04,145.53,45.84,48.92,45.84,424,191,220,835,54,31,7,80,12,242,196,370,561,21,62,301,31,19,84,465,101,49,12.6,12.12,24.2,16,9,29,835,615,615,9,9.92,8.33,9.04,49.48,49.48,47.06
EDM,2009,EDM,EDM,Team Level,5on4,82,0.9,0.88,0.87,27587,315.62,39.22,27.59,63.11,10.29,194.97,103.54,37.62,39.22,37.62,324,125,175,624,43,25,9,53,7,177,144,281,406,35,68,227,24,15,73,310,90,49,7.13,11.02,21.06,7,10,26,624,449,449,11,7.03,7.04,7.09,38.5,38.5,37.55,50.84,4.2,2.22,6.77,1.46,15.58,38.75,4.17,4.2,4.17,53,16,14,83,5,0,0,7,2,11,44,48,64,21,42,227,86,87,79,53,11,5,1.41,1.52,1.27,1,1,3,83,69,69,73,0.52,0,0,4.72,4.72,4.69
CBJ,2009,CBJ,CBJ,Team Level,other,82,0.51,0.41,0.41,14924,126.76,22.21,8.49,23.3,4.12,68.05,49.82,21.18,22.21,21.18,127,49,48,224,27,11,2,18,4,51,65,100,149,19,55,145,44,16,15,116,30,30,3.59,4.09,14.53,6,5,16,224,176,176,6,2.4,2.75,2.62,21.99,21.99,21.42,178.81,21.03,12.83,36.43,6.22,104.78,72.71,20.12,21.03,20.12,186,68,73,327,20,10,2,32,5,105,82,166,234,12,41,170,37,24,15,170,62,22,5.51,7.56,7.96,8,5,7,327,254,254,7,3.65,1.69,1.69,22.98,22.98,22.22
CBJ,2009,CBJ,CBJ,Team Level,all,82,0.47,0.48,0.47,299841,2216.25,186.35,151.05,495.89,71.77,1252.75,930.52,180.72,186.01,180.36,2338,755,960,4053,214,155,36,350,86,1020,1268,2124,2879,419,1020,2324,2075,396,387,2420,521,152,65.62,62.69,58.04,77,74,63,4022.61,3093,3081.56,193,33.4,32.58,33.37,186.13,185.65,182.42,2461.7,205.94,166.84,552.75,79.93,1400.65,1039.88,199.5,206.74,200.3,2515,931,1029,4475,249,153,40,412,91,1238,1304,2266,3197,391,962,2234,1857,471,451,2670,606,170,75.62,71.79,58.53,87,98,64,4507.18,3446,3462.98,216,37.21,32.47,33.21,209.94,210.76,206.71
CBJ,2009,CBJ,CBJ,Team Level,5on5,82,0.48,0.48,0.48,228119,1640.48,118.43,105.73,382.71,52.43,914.18,696.86,115.24,118.09,114.87,1734,541,690,2965,135,107,23,275,63,737,958,1599,2140,350,859,1641,1887,298,302,1803,395,77,49.01,47.65,21.78,56,58,21,2934.61,2275,2263.56,160,21.73,21.52,22.48,117.41,116.93,115.54,1794.12,127.47,113.34,421.23,57.97,1013.43,772.57,124.75,128.26,125.56,1834,672,745,3251,166,96,27,308,68,903,966,1668,2340,326,809,1585,1691,350,353,2023,403,80,57.46,47.15,22.85,68,73,25,3283.18,2506,2522.97,185,23.23,18.38,19.24,131.44,132.27,130.77
CBJ,2009,CBJ,CBJ,Team Level,4on5,82,0.1,0.12,0.14,29018,67.18,5.67,3.13,8.68,2.05,20.8,53.67,5.66,5.67,5.66,70,24,11,105,5,0,0,5,1,22,61,65,89,24,51,260,112,58,24,69,22,3,2.24,2.77,0.67,1,4,0,105,94,94,21,0.71,0,0,6.38,6.38,6.37,417.35,51.55,37.4,86.11,13.71,260.38,139.84,48.78,51.55,48.78,428,161,197,786,55,44,11,68,14,217,191,373,534,32,67,276,61,28,58,401,127,61,10.54,15.26,25.74,9,17,29,786,589,589,2,9.6,11.82,11.7,49.45,49.45,47.67
CBJ,2009,CBJ,CBJ,Team Level,5on4,82,0.87,0.87,0.85,27780,381.84,40.04,33.7,81.2,13.15,249.73,130.16,38.65,40.04,38.65,407,141,211,759,47,37,11,52,18,210,184,360,501,26,55,278,32,24,46,432,74,42,10.79,8.18,21.06,14,7,26,759,548,548,6,8.56,8.3,8.26,40.34,40.34,39.09,71.42,5.9,3.27,8.98,2.03,22.06,54.76,5.83,5.9,5.83,67,30,14,111,8,3,0,4,4,13,65,59,89,21,45,203,68,69,25,76,14,7,2.11,1.82,1.98,2,3,3,111,97,97,22,0.75,0.58,0.58,6.07,6.07,6.05
VAN,2009,VAN,VAN,Team Level,other,82,0.62,0.56,0.57,16358,171.83,30.58,12.13,32.03,5.82,96.22,67.75,28.83,30.58,28.83,169,83,73,325,27,11,5,37,5,87,85,142,225,16,35,150,33,34,24,169,38,45,5.41,4.78,20.38,2,6,19,325,252,252,8,3.6,4.55,4.59,29.06,29.06,28.16,131.68,18.92,8.96,25.94,4.39,71.92,53.46,18.46,18.92,18.46,141,51,62,254,20,8,1,32,10,62,60,121,172,24,53,170,39,18,23,127,41,24,4.81,4.92,9.2,4,5,11,254,192,192,10,2.6,1.88,2.02,18.98,18.98,18.62
VAN,2009,VAN,VAN,Team Level,all,82,0.52,0.52,0.52,298370,2498.09,234.05,173.45,552.02,82.46,1410.34,1064.07,225.72,234.73,226.38,2534,1031,1107,4672,268,147,44,585,73,1170,1322,2266,3297,446,1119,2434,1499,570,578,2720,633,212,78.81,76.74,78.5,96,86,86,4674.73,3565,3567.11,357,38.94,34.66,38.97,230.88,231.26,226.42,2346.55,212.39,162.47,520.19,76.53,1320.77,987.11,205.89,212.21,205.73,2419,910,991,4320,218,122,33,613,89,1018,1269,2201,3111,449,1115,2304,1715,544,587,2525,627,177,76.19,75.71,60.49,69,79,70,4297.8,3329,3317.67,364,36.08,27.86,32.11,213.09,212.98,208.79
VAN,2009,VAN,VAN,Team Level,5on5,82,0.51,0.52,0.51,224075,1823.34,145.82,119.47,419.88,59.7,1012.47,795.95,142.03,146.51,142.68,1862,724,825,3411,174,106,28,441,54,814,997,1688,2412,367,933,1716,1349,431,453,1997,487,102,59.17,58.51,28.13,77,63,34,3413.73,2586,2588.11,307,24.54,20.88,23.39,144.96,145.31,143.3,1752.95,138.27,114.77,405.1,56.77,977.53,752.13,134.96,138.09,134.79,1795,672,714,3181,137,87,21,469,61,723,990,1658,2330,363,930,1608,1532,433,458,1920,457,90,58.97,55.05,24.25,53,55,29,3158.8,2467,2455.67,309,23.58,17.39,20.42,139.92,139.81,137.89
VAN,2009,VAN,VAN,Team Level,4on5,82,0.12,0.11,0.13,29472,61.5,6.45,3.01,7.3,1.69,18.03,50.53,6.44,6.45,6.44,70,17,13,100,9,0,0,5,0,11,62,61,78,30,76,251,80,87,36,65,14,8,1.9,1.97,2.57,1,4,4,100,87,87,34,0.69,0,0,7.13,7.13,7.13,396.42,49.39,35.79,80.39,13.34,252.04,130.36,46.67,49.39,46.67,406,174,203,783,55,26,11,106,17,215,161,351,525,37,79,311,69,16,66,410,114,56,10.51,13.65,25.23,11,15,29,783,580,580,9,9.22,8.55,9.63,47.75,47.75,45.83
VAN,2009,VAN,VAN,Team Level,5on4,82,0.9,0.89,0.88,28465,441.42,51.2,38.85,92.81,15.27,283.63,149.84,48.43,51.2,48.43,433,207,196,836,58,30,11,102,14,258,178,375,582,33,75,317,37,18,65,489,94,57,12.31,11.48,27.41,16,13,29,836,640,640,8,10.12,9.22,10.98,49.75,49.75,47.84,65.51,5.81,2.95,8.77,2.02,19.29,51.16,5.8,5.81,5.8,77,13,12,102,6,1,0,6,1,18,58,71,84,25,53,215,75,77,40,68,15,7,1.91,2.1,1.81,1,4,1,102,90,90,36,0.68,0.04,0.04,6.45,6.45,6.44
